Owner / Assignee,Pat. No.,Priority Date,Status,URL
Terran Biosciences,WO2022212854,1/4/2021,Published,https://patents.google.com/patent/WO2022212854A1/
Mycrodose therapeutics inc.,WO2022212789,31/3/2021,Published,https://patents.google.com/patent/WO2022212789A1/
Allen institute,WO2022212585,30/3/2021,Published,https://patents.google.com/patent/WO2022212585A1/
"Mind Cure Health, Inc.",WO2022204805,29/3/2021,Published,https://patents.google.com/patent/WO2022204805A1/
Universitatsspital Basel,US20220280501,6/3/2021,Published,https://patents.google.com/patent/US20220280501A1/
Universitatsspital Basel,WO2022189907,6/3/2021,Published,https://patents.google.com/patent/WO2022189907A1/
Universitatsspital basel,WO2022175821,19/2/2021,Published,https://patents.google.com/patent/WO2022175821A1/
Universitatsspital Basel,US20220273628,19/2/2021,Published,https://patents.google.com/patent/US20220273628A1/
Beckley Psytech,WO2022153266,15/1/2021,Published,https://patents.google.com/patent/WO2022153266A1/
Ceruvia Lifesciences,WO2022115405,25/11/2020,Published,https://patents.google.com/patent/WO2022115405A1/
Havn Life Sciences,WO2022107095,22/11/2020,Published,https://patents.google.com/patent/WO2022107095A1/
Bexson Biomedical,US20220152088,18/11/2020,Published,https://patents.google.com/patent/US20220152088A1/
Bexson Biomedical,WO2022109050,18/11/2020,Published,https://patents.google.com/patent/WO2022109050A1/
Universitatsspital Basel,US20220128580,24/10/2020,Published,https://patents.google.com/patent/US20220128580A1/
Psilo Scientiﬁc,WO2022082320,23/10/2020,Published,https://patents.google.com/patent/WO2022082320A1/
Purposeful IKE,WO2022079302A1,16/10/2020,Published,https://patents.google.com/patent/WO2022079302A1/
Purposeful IKE,WO2022079307A1,16/10/2020,Published,https://patents.google.com/patent/WO2022079307A1/
Purposeful IKE,WO2022079304A1,16/10/2020,Published,https://patents.google.com/patent/WO2022079304A1/
Goodcap Pharmaceuticals,WO2022079574,12/10/2020,Published,https://patents.google.com/patent/WO2022079574A1/
YZTherapeutic Performance,WO2022049574,2/9/2020,Published,https://patents.google.com/patent/WO2022049574A1/
Diamond Therapeutics,WO2022/023812A1,29/7/2020,Pending,https://patents.google.com/patent/WO2022023812A1/
The Royal Insititution for the Advance…,WO2022023813A1,29/7/2020,Published,https://patents.google.com/patent/WO2022023813A1/
Stephen Barnhill; Ai Pharmaceuticals …,WO2022018709A1,21/7/2020,Published,https://patents.google.com/patent/WO2022018709A1/
Compass Pathﬁnder,WO2022008627A2,7/7/2020,Published,https://patents.google.com/patent/WO2022008627A2/
Greenway DNA,US20210407643A1,25/6/2020,Published,https://patents.google.com/patent/US20210407643A1/
