Owner / Assignee,Pat. No.,Priority Date,Status,URL
"Michael Buck IP, Oct…",AU2021106875A4,24/8/2021,Granted 2021-11-25 (…,https://patents.google.com/patent/AU2021106875A4/
Mind Medicine Australia,AU2021106190A4,20/8/2021,Granted 2021-10-28 (…,https://patents.google.com/patent/AU2021106190A4/
Terran Biosciences,WO2022212854,1/4/2021,Published,https://patents.google.com/patent/WO2022212854A1/
Mycrodose therapeut…,WO2022212789,31/3/2021,Published,https://patents.google.com/patent/WO2022212789A1/
Allen institute,WO2022212585,30/3/2021,Published,https://patents.google.com/patent/WO2022212585A1/
"Mind Cure Health, Inc.",WO2022204805,29/3/2021,Published,https://patents.google.com/patent/WO2022204805A1/
Octavian & Desmond …,AU2021900219A0,2/2/2021,Filed,https://patents.google.com/patent/AU2021900219A0/
Alto Neuroscience,WO2022159632,20/1/2021,Published,https://patents.google.com/patent/WO2022159632A1/
Awakn Life Sciences,WO2022150525,6/1/2021,Published,https://patents.google.com/patent/WO2022150525A1/
Biotech Intellectual H…,AU2020904571A0,9/12/2020,Filed,https://patents.google.com/patent/AU2020904571A0/
Mind Medicine,US20220151986,18/11/2020,Published,https://patents.google.com/patent/US20220151986A1/
Bexson Biomedical,US20220152088,18/11/2020,Published,https://patents.google.com/patent/US20220152088A1/
Bexson Biomedical,WO2022109050,18/11/2020,Published,https://patents.google.com/patent/WO2022109050A1/
Pharma America Hol…,US20220152032,13/11/2020,Published,https://patents.google.com/patent/US20220152032A1/
Pharma America Hol…,US20220265664,13/11/2020,Published,https://patents.google.com/patent/US20220265664A1/
Goodcap Pharmaceu…,WO2022079574,12/10/2020,Published,https://patents.google.com/patent/WO2022079574A1/
Mydecine Innovations,WO2022061196,18/9/2020,Published,https://patents.google.com/patent/WO2022061196A1/
Compass Pathﬁnder,WO2022053696,11/9/2020,Published,https://patents.google.com/patent/WO2022053696A1/
Universitätsspital Basel,WO2021257169A1,15/6/2020,Published,https://patents.google.com/patent/WO2021257169A1/
Universitätsspital Basel,US20210386704A1,15/6/2020,Published,https://patents.google.com/patent/US20210386704A1/
Universitatsspital Basel,WO2021225796A1,5/5/2020,Published,https://patents.google.com/patent/WO2021225796A1/
Universitatsspital Basel,"US11,364,221",5/5/2020,Granted 2022-06-21 (…,https://patents.google.com/patent/US11364221B2/
The Regents of the U…,WO2021202730A1,1/4/2020,Published,https://patents.google.com/patent/WO2021202730A1/
"Yale University, U.S. …",US20210236523A1,5/2/2020,Pending in US,https://patents.google.com/patent/US20210236523A1/
