Owner / Assignee,Pat. No.,Priority Date,Status,URL
Lennham Pharmaceuticals,"US11,344,564",8/20/21,Granted 2022-5-31 (exp¶,https://patents.google.com/patent/US11344564B1/
Jarred Tudela,US20220007604A1,7/23/21,Published,https://patents.google.com/patent/US20220007604A1/
Jerred Tudela,"US11,419,280",7/23/21,Published,https://patents.google.com/patent/US11419280B2/
Terran Biosciences,WO2022212854,4/1/21,Published,https://patents.google.com/patent/WO2022212854A1/
Mycrodose Therapeutics,WO2022212789,3/31/21,Published,https://patents.google.com/patent/WO2022212789A1/
Allen institute,WO2022212585,3/30/21,Published,https://patents.google.com/patent/WO2022212585A1/
Compass Pathfinder Lim¶,WO2022207746,3/30/21,Published,https://patents.google.com/patent/WO2022207746A1/
Mynd Life Sciences,WO2022204802,3/30/21,Published,https://patents.google.com/patent/WO2022204802A1/
Mind Cure Health,WO2022204805,3/29/21,Published,https://patents.google.com/patent/WO2022204805A1/
Cybin IRL Limited,WO2022195011,3/18/21,Published,https://patents.google.com/patent/WO2022195011A1/
Tryp Therapeutics,WO2022195489,3/15/21,Published,https://patents.google.com/patent/WO2022195489A2/
Allied Corp.,WO2022187973,3/12/21,Published,https://patents.google.com/patent/WO2022187973A1/
Psycheded Wellness,WO2022187974,3/12/21,Published,https://patents.google.com/patent/WO2022187974A1/
Diamond Therapeutics,WO2022189855,3/8/21,Published,https://patents.google.com/patent/WO2022189855A1/
Mind Medicine,US20220280482,3/6/21,Published,https://patents.google.com/patent/US20220280482A1/
Mind Medicine,WO2022192097,3/6/21,Published,https://patents.google.com/patent/WO2022192097A1/
London Pharmaceuticals¶,WO2022183292,3/3/21,Published,https://patents.google.com/patent/WO2022183292A1/
MagicMed Industries,WO2022170438,2/12/21,Published,https://patents.google.com/patent/WO2022170438A1/
Eleusis Therapeutics,WO2022173888,2/10/21,Published,https://patents.google.com/patent/WO2022173888A1/
"David Alan Heldreth, JR.",US20220265601,2/10/21,Published,https://patents.google.com/patent/US20220265601A1/
Ceria,WO2022165387,1/31/21,Published,https://patents.google.com/patent/WO2022165387A1/
Ceria,US20220256893,1/31/21,Published,https://patents.google.com/patent/US20220256893A1/
MagicMed Industries,WO2022155751,1/22/21,Published,https://patents.google.com/patent/WO2022155751A1/
2655626 Ontario Inc.,WO2022155741,1/20/21,Published,https://patents.google.com/patent/WO2022155741A1/
The George Washington ¶,WO2022150763,1/11/21,Published,https://patents.google.com/patent/WO2022150763A1/
Miami University,WO2022150854,1/11/21,Published,https://patents.google.com/patent/WO2022150854A1/
New York University,WO2022150563,1/8/21,Published,https://patents.google.com/patent/WO2022150563A1/
Miami University,WO2022150840,1/8/21,Published,https://patents.google.com/patent/WO2022150840A1/
Mai Nguyen,US20220218649,1/7/21,Published,https://patents.google.com/patent/US20220218649A1/
Psilo Scientific,WO2022140846,12/28/20,Published,https://patents.google.com/patent/WO2022140846A1/
Psilo Scientific,US20220313713A1,12/28/20,Published,https://patents.google.com/patent/US20220313713A1/
Psilo Scientific,US20220313762A1,12/28/20,Published,https://patents.google.com/patent/US20220313762A1/
Psilobrain Therapeutics,WO2022137107,12/21/20,Published,https://patents.google.com/patent/WO2022137107A1/
CaaMTech,WO2022132691,12/16/20,Published,https://patents.google.com/patent/WO2022132691A1/
Silo Pharma,WO2022125949,12/13/20,Published,https://patents.google.com/patent/WO2022125949A1/
CaaMTech,WO2022125616,12/9/20,Published,https://patents.google.com/patent/WO2022125616A1/
Beckley Psytech,WO2022123232,12/7/20,Published,https://patents.google.com/patent/WO2022123232A1/
Enveric Biosciences,WO2022115960,12/4/20,Published,https://patents.google.com/patent/WO2022115960A1/
Mydecine Innovations Gr,WO2022120181,12/3/20,Published,https://patents.google.com/patent/WO2022120181A1/
Enveric Biosciences,WO2022115944,12/1/20,Published,https://patents.google.com/patent/WO2022115944A1/
Wesana Health,WO2022115798,11/30/20,Published,https://patents.google.com/patent/WO2022115798A2/
